poiid,name,x_raw,y_raw,lng,lat,tel,fax,address,services,op_day,op_time,special_store_kind,store_url,has_toilet
232454,敦南,121547076,25040876,121.547076,25.040876,(02)27115066,(02)27514455,台北市大安區大安路一段83巷14號1樓,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,06思樂冰,19ibon,22現蒸地瓜,31博客來,36精品咖啡,37天素地蔬,82天素地蔬複合店,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,79精品威士忌咖啡,90饗喫鍋,91蒸玉米,94EC自助取件,A0茶BAR(茶拿鐵),A2動福滷蛋,A9beams design專區",,24H,,,1
238186,敦維,121546674.389051,25036237.8981803,121.546674389051,25.0362378981803,(02)23255362,(02)23258363,台北市大安區東豐街43號45號1樓,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,06思樂冰,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,08寵物生活專區,17甜點專櫃,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,89自助微波,97ANKER,A1所長茶葉蛋,A8BEAMS DESIGN",,24H,,,1
195760,森美,121536633,25033724,121.536633,25.033724,(02)27097500,(02)27096654,台北市大安區信義路三段65號1樓,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,06思樂冰,19ibon,22現蒸地瓜,36精品咖啡,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,78拋棄式隱形眼鏡,79精品威士忌咖啡,91蒸玉米,A0茶BAR(茶拿鐵)",,24H,,,1
279671,華電,121553541,25027566,121.553541,25.027566,(02)27329694,(02)27338944,台北市大安區通化街177號,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,22現蒸地瓜,24雪淋霜霜淇淋,36精品咖啡,37天素地蔬,66冷凍交貨便,17甜點專櫃,34CITY系列熱燕麥飲,79精品威士忌咖啡,80霹靂DVD,84gogoro,89自助微波,91蒸玉米",,24H,,,1
273938,圓金,121549712,25036915,121.549712,25.036915,(02)27019056,(02)27010703,台北市大安區仁愛路四段112巷7號7號之1,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,19ibon,21現萃茶,22現蒸地瓜,24雪淋霜霜淇淋,29聖娜麵包,31博客來,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,89自助微波,92現烤地瓜,91蒸玉米,97ANKER,A1所長茶葉蛋,A2動福滷蛋",,24H,,,1
278139,愛國,121527296,25031752,121.527296,25.031752,(02)23584736,(02)23587473,台北市大安區愛國東路75號,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,06思樂冰,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,34CITY系列熱燕麥飲,33OPEN iECO循環杯,79精品威士忌咖啡,A1所長茶葉蛋",,24H,,,1
273950,新國聯,121556961,25042381,121.556961,25.042381,(02)27752026,(02)27752021,台北市大安區光復南路180巷12號,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,16美妝,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,79精品威士忌咖啡,80霹靂DVD,89自助微波,91蒸玉米,97ANKER,A1所長茶葉蛋,B0奶油爆米花風味拿鐵",,24H,,,1
274230,誠安,121550039,25038776,121.550039,25.038776,(02)27112781,(02)27713423,台北市大安區敦化南路一段247巷12號1樓,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,08寵物生活專區,34CITY系列熱燕麥飲,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,84gogoro,89自助微波,A1所長茶葉蛋,A8BEAMS DESIGN",,06:00 ~ 23:59,,,1
996154,鳳翔,121552885,25038084,121.552885,25.038084,(02)87710411,(02)87710414,台北市大安區忠孝東路四段216巷68號,"02廁所,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,36精品咖啡,66冷凍交貨便,34CITY系列熱燕麥飲,79精品威士忌咖啡,89自助微波,96瓜地馬拉豆,A1所長茶葉蛋",,06:00 ~ 23:59,,,1
201287,樂和,121551507,25027420,121.551507,25.02742,(02)87323391,(02)87323390,台北市大安區樂利路29號29-1號,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,36精品咖啡,82天素地蔬複合店,66冷凍交貨便,17甜點專櫃,34CITY系列熱燕麥飲,33OPEN iECO循環杯,79精品威士忌咖啡,91蒸玉米",,24H,,,1
129350,黎元,121550764,25018098,121.550764,25.018098,(02)23778253,(02)27359510,台北市大安區辛亥路三段157巷32號1樓臥龍街188巷1號1樓,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,13生鮮蔬菜,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,80霹靂DVD,90饗喫鍋,91蒸玉米",,24H,,,1
239776,龍和,121542241,25025232,121.542241,25.025232,(02)27017163,(02)27013987,台北市大安區和平東路二段197號199號1樓,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,82天素地蔬複合店,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,92現烤地瓜,91蒸玉米",,24H,,,1
276638,麟光,121557008,25018364,121.557008,25.018364,(02)27339761,(02)27388199,台北市大安區臥龍街252號及252之1號,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,13生鮮蔬菜,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,82天素地蔬複合店,66冷凍交貨便,20酒BAR,08寵物生活專區,17甜點專櫃,34CITY系列熱燕麥飲,78拋棄式隱形眼鏡,79精品威士忌咖啡,80霹靂DVD,89自助微波,94EC自助取件,96瓜地馬拉豆,A1所長茶葉蛋",,07:00 ~ 23:59,,,1
265465,鑫忠孝,121555898,25041614,121.555898,25.041614,(02)27754406,(02)27754105,台北市大安區忠孝東路四段313號1樓,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,79精品威士忌咖啡,83蒸食機,89自助微波,91蒸玉米,A1所長茶葉蛋,B0奶油爆米花風味拿鐵",,24H,,,1
281858,鑫富民,121549773,25043896,121.549773,25.043896,(02)27754172,(02)27754275,台北市大安區忠孝東路四段181巷40弄22號1樓,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,78拋棄式隱形眼鏡,79精品威士忌咖啡,89自助微波,91蒸玉米,B0奶油爆米花風味拿鐵",,24H,,,1
