name,description,type,lat,lng,floor,hasTissue,hasDryer,hasSeat,hasDiaperTable,hasWaterDispenser,hasAutoDoor,hasHandrail,source,poiid,poiname,address,telno,op_time,services,x_raw,y_raw,has_toilet_service_tag
7-ELEVEN 金信,地址：台北市大安區金山南路二段18號1樓；電話：(02)23215183；營業時間：24H；,TOILET,25.0332818881702,121.52694037464599,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,197744,金信,台北市大安區金山南路二段18號1樓,(02)23215183,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,19ibon,21現萃茶,22現蒸地瓜,31博客來,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,34CITY系列熱燕麥飲,79精品威士忌咖啡,90饗喫鍋,91蒸玉米,94EC自助取件,97ANKER,A1所長茶葉蛋,A9beams design專區",121526940.374646,25033281.8881702,True
7-ELEVEN 統家,地址：台北市大安區忠孝東路四段216巷27弄1號1樓；電話：(02)27212029；營業時間：06:00 ~ 23:59；,TOILET,25.0399389109956,121.553361394032,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,202453,統家,台北市大安區忠孝東路四段216巷27弄1號1樓,(02)27212029,06:00 ~ 23:59,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,16美妝,19ibon,21現萃茶,22現蒸地瓜,24雪淋霜霜淇淋,36精品咖啡,39原賞熱壓土司,66冷凍交貨便,18高效智慧回收機,79精品威士忌咖啡,80霹靂DVD,90饗喫鍋,91蒸玉米,96瓜地馬拉豆,A1所長茶葉蛋,A2動福滷蛋",121553361.394032,25039938.9109956,True
7-ELEVEN 統領,地址：台北市大安區忠孝東路四段223巷9號1樓；電話：(02)87734754；營業時間：24H；,TOILET,25.042214,121.552871,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,232960,統領,台北市大安區忠孝東路四段223巷9號1樓,(02)87734754,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,19ibon,22現蒸地瓜,36精品咖啡,39原賞熱壓土司,66冷凍交貨便,08寵物生活專區,17甜點專櫃,79精品威士忌咖啡,90饗喫鍋,89自助微波,97ANKER,A1所長茶葉蛋,A8BEAMS DESIGN,B0奶油爆米花風味拿鐵",121552871,25042214,True
7-ELEVEN 喜悅,地址：台北市大安區復興南路二段82-1及82-2號；電話：(02)27067601；營業時間：24H；,TOILET,25.030944,121.543243,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,186319,喜悅,台北市大安區復興南路二段82-1及82-2號,(02)27067601,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,19ibon,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,08寵物生活專區,17甜點專櫃,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,83蒸食機,90饗喫鍋,92現烤地瓜,91蒸玉米,A0茶BAR(茶拿鐵),A8BEAMS DESIGN",121543243,25030944,True
7-ELEVEN 敦信,地址：台北市大安區仁愛路四段122巷50號1樓；電話：(02)27556047；營業時間：24H；,TOILET,25.0345658922844,121.550178391539,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,147141,敦信,台北市大安區仁愛路四段122巷50號1樓,(02)27556047,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),11千禧血壓站,12行動電源租賃,09OPEN! PLAZA專櫃,06思樂冰,13生鮮蔬菜,19ibon,21現萃茶,22現蒸地瓜,29聖娜麵包,31博客來,36精品咖啡,37天素地蔬,82天素地蔬複合店,39原賞熱壓土司,66冷凍交貨便,08寵物生活專區,17甜點專櫃,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,89自助微波,94EC自助取件,96瓜地馬拉豆,97ANKER,A1所長茶葉蛋,A2動福滷蛋",121550178.391539,25034565.8922844,True
7-ELEVEN 敦南,地址：台北市大安區大安路一段83巷14號1樓；電話：(02)27115066；營業時間：24H；,TOILET,25.040876,121.547076,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,232454,敦南,台北市大安區大安路一段83巷14號1樓,(02)27115066,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,06思樂冰,19ibon,22現蒸地瓜,31博客來,36精品咖啡,37天素地蔬,82天素地蔬複合店,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,79精品威士忌咖啡,90饗喫鍋,91蒸玉米,94EC自助取件,A0茶BAR(茶拿鐵),A2動福滷蛋,A9beams design專區",121547076,25040876,True
7-ELEVEN 敦維,地址：台北市大安區東豐街43號45號1樓；電話：(02)23255362；營業時間：24H；,TOILET,25.0362378981803,121.546674389051,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,238186,敦維,台北市大安區東豐街43號45號1樓,(02)23255362,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,06思樂冰,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,08寵物生活專區,17甜點專櫃,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,89自助微波,97ANKER,A1所長茶葉蛋,A8BEAMS DESIGN",121546674.389051,25036237.8981803,True
7-ELEVEN 森美,地址：台北市大安區信義路三段65號1樓；電話：(02)27097500；營業時間：24H；,TOILET,25.033724,121.536633,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,195760,森美,台北市大安區信義路三段65號1樓,(02)27097500,24H,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,06思樂冰,19ibon,22現蒸地瓜,36精品咖啡,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,78拋棄式隱形眼鏡,79精品威士忌咖啡,91蒸玉米,A0茶BAR(茶拿鐵)",121536633,25033724,True
7-ELEVEN 華電,地址：台北市大安區通化街177號；電話：(02)27329694；營業時間：24H；,TOILET,25.027566,121.553541,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,279671,華電,台北市大安區通化街177號,(02)27329694,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,22現蒸地瓜,24雪淋霜霜淇淋,36精品咖啡,37天素地蔬,66冷凍交貨便,17甜點專櫃,34CITY系列熱燕麥飲,79精品威士忌咖啡,80霹靂DVD,84gogoro,89自助微波,91蒸玉米",121553541,25027566,True
7-ELEVEN 圓金,地址：台北市大安區仁愛路四段112巷7號7號之1；電話：(02)27019056；營業時間：24H；,TOILET,25.036915,121.549712,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,273938,圓金,台北市大安區仁愛路四段112巷7號7號之1,(02)27019056,24H,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,19ibon,21現萃茶,22現蒸地瓜,24雪淋霜霜淇淋,29聖娜麵包,31博客來,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,89自助微波,92現烤地瓜,91蒸玉米,97ANKER,A1所長茶葉蛋,A2動福滷蛋",121549712,25036915,True
7-ELEVEN 愛國,地址：台北市大安區愛國東路75號；電話：(02)23584736；營業時間：24H；,TOILET,25.031752,121.527296,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,278139,愛國,台北市大安區愛國東路75號,(02)23584736,24H,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,06思樂冰,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,34CITY系列熱燕麥飲,33OPEN iECO循環杯,79精品威士忌咖啡,A1所長茶葉蛋",121527296,25031752,True
7-ELEVEN 新國聯,地址：台北市大安區光復南路180巷12號；電話：(02)27752026；營業時間：24H；,TOILET,25.042381,121.556961,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,273950,新國聯,台北市大安區光復南路180巷12號,(02)27752026,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,16美妝,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,79精品威士忌咖啡,80霹靂DVD,89自助微波,91蒸玉米,97ANKER,A1所長茶葉蛋,B0奶油爆米花風味拿鐵",121556961,25042381,True
7-ELEVEN 誠安,地址：台北市大安區敦化南路一段247巷12號1樓；電話：(02)27112781；營業時間：06:00 ~ 23:59；,TOILET,25.038776,121.550039,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,274230,誠安,台北市大安區敦化南路一段247巷12號1樓,(02)27112781,06:00 ~ 23:59,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,08寵物生活專區,34CITY系列熱燕麥飲,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,84gogoro,89自助微波,A1所長茶葉蛋,A8BEAMS DESIGN",121550039,25038776,True
7-ELEVEN 鳳翔,地址：台北市大安區忠孝東路四段216巷68號；電話：(02)87710411；營業時間：06:00 ~ 23:59；,TOILET,25.038084,121.552885,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,996154,鳳翔,台北市大安區忠孝東路四段216巷68號,(02)87710411,06:00 ~ 23:59,"02廁所,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,36精品咖啡,66冷凍交貨便,34CITY系列熱燕麥飲,79精品威士忌咖啡,89自助微波,96瓜地馬拉豆,A1所長茶葉蛋",121552885,25038084,True
7-ELEVEN 樂和,地址：台北市大安區樂利路29號29-1號；電話：(02)87323391；營業時間：24H；,TOILET,25.02742,121.551507,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,201287,樂和,台北市大安區樂利路29號29-1號,(02)87323391,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,36精品咖啡,82天素地蔬複合店,66冷凍交貨便,17甜點專櫃,34CITY系列熱燕麥飲,33OPEN iECO循環杯,79精品威士忌咖啡,91蒸玉米",121551507,25027420,True
7-ELEVEN 黎元,地址：台北市大安區辛亥路三段157巷32號1樓臥龍街188巷1號1樓；電話：(02)23778253；營業時間：24H；,TOILET,25.018098,121.550764,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,129350,黎元,台北市大安區辛亥路三段157巷32號1樓臥龍街188巷1號1樓,(02)23778253,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,13生鮮蔬菜,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,80霹靂DVD,90饗喫鍋,91蒸玉米",121550764,25018098,True
7-ELEVEN 龍和,地址：台北市大安區和平東路二段197號199號1樓；電話：(02)27017163；營業時間：24H；,TOILET,25.025232,121.542241,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,239776,龍和,台北市大安區和平東路二段197號199號1樓,(02)27017163,24H,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,82天素地蔬複合店,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,92現烤地瓜,91蒸玉米",121542241,25025232,True
7-ELEVEN 麟光,地址：台北市大安區臥龍街252號及252之1號；電話：(02)27339761；營業時間：07:00 ~ 23:59；,TOILET,25.018364,121.557008,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,276638,麟光,台北市大安區臥龍街252號及252之1號,(02)27339761,07:00 ~ 23:59,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,13生鮮蔬菜,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,82天素地蔬複合店,66冷凍交貨便,20酒BAR,08寵物生活專區,17甜點專櫃,34CITY系列熱燕麥飲,78拋棄式隱形眼鏡,79精品威士忌咖啡,80霹靂DVD,89自助微波,94EC自助取件,96瓜地馬拉豆,A1所長茶葉蛋",121557008,25018364,True
7-ELEVEN 鑫忠孝,地址：台北市大安區忠孝東路四段313號1樓；電話：(02)27754406；營業時間：24H；,TOILET,25.041614,121.555898,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,265465,鑫忠孝,台北市大安區忠孝東路四段313號1樓,(02)27754406,24H,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,79精品威士忌咖啡,83蒸食機,89自助微波,91蒸玉米,A1所長茶葉蛋,B0奶油爆米花風味拿鐵",121555898,25041614,True
7-ELEVEN 鑫富民,地址：台北市大安區忠孝東路四段181巷40弄22號1樓；電話：(02)27754172；營業時間：24H；,TOILET,25.043896,121.549773,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,281858,鑫富民,台北市大安區忠孝東路四段181巷40弄22號1樓,(02)27754172,24H,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,78拋棄式隱形眼鏡,79精品威士忌咖啡,89自助微波,91蒸玉米,B0奶油爆米花風味拿鐵",121549773,25043896,True
